X1,X3,X7,X8,X9,X10,X11,X15,X17,X18,X19,X21,X22,X23,X24,X25,X26,X27,X28,X29,X30,X31,X32,X33,X34,X35,X36,X37,X38,X39,X40,X41,X44,X45,X47,X48,X49,X50,X51,X52,X53,X54,X55,X56,X57,X58,X59,X60,X61,X62,X63,X64,X65,X66,X67,X68,X69,X71,X72,X73,X75,X76,X78,X80,X82,X84,X85,X87,X88,X90,X91,Region,disciplines_recoded_wos
10,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Neither agree nor disagree,Completely agree,Very important,Very important,Very important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Very unimportant,Somewhat important,Very important,Somewhat important,Very important,Neither agree nor disagree,Agree,Very important,Very important,Very important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Very important,Neither important nor unimportant,Very important,Neither agree nor disagree,Neither agree nor disagree,15,6,Neither often nor rarely,0,NA,10,3,Unimportant,Neither important nor unimportant,Unimportant,Male,Professor,1985,Teaching intensive,Astronomy,NA,Europe & Central Asia,Physical Sciences
11,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Agree,Agree,Somewhat important,Somewhat important,Somewhat important,Very important,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat unimportant,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Very important,Very important,Somewhat important,Disagree,Neither agree nor disagree,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Neither important nor unimportant,Very important,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Somewhat important,Very important,Agree,Agree,75,30,Very rarely,20,18,50,15,Very important,Unimportant,Important,Male,Professor,1996,Both research and teaching intensive,Environmental Science,NA,North America,Life Sciences & Biomedicine
12,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,No,Agree,Agree,I don't know,I don't know,I don't know,I don't know,I don't know,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Very important,Very important,Very important,Agree,Agree,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Disagree,Disagree,60,3,Neither often nor rarely,10,10,100,0,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Male,Doctoral researcher,1992,Both research and teaching intensive,Environmental Science,NA,Europe & Central Asia,Life Sciences & Biomedicine
13,8,Yes,Yes,Yes,Yes,Yes,Yes,Yes,NA,Yes,Agree,Agree,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Very important,Somewhat important,Neither important nor unimportant,Very important,Somewhat unimportant,Somewhat unimportant,Somewhat unimportant,Neither important nor unimportant,Very important,Very important,Somewhat important,Disagree,Completely disagree,Very unimportant,Very unimportant,Very important,Very unimportant,Very unimportant,Very important,Very important,Very important,Somewhat important,Very unimportant,Neither important nor unimportant,Neither important nor unimportant,Very unimportant,Very unimportant,Very important,Somewhat important,Somewhat important,Very unimportant,Very important,Completely agree,Completely agree,12,11,Very rarely,2,2,15,3,Important,Important,Very important,Male,Lecturer / Assistant Professor / Research Fellow,2007,Both research and teaching intensive,Biology,NA,Europe & Central Asia,Life Sciences & Biomedicine
14,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Not applicable,Disagree,Disagree,Somewhat important,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Very important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Neither agree nor disagree,Neither agree nor disagree,Somewhat important,Somewhat important,Very important,Somewhat important,Neither important nor unimportant,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Very important,Somewhat important,Very important,Somewhat unimportant,Very important,Somewhat important,Somewhat important,Very important,Disagree,Neither agree nor disagree,10,7,Rarely,3,0,12,6,Important,Neither important nor unimportant,Neither important nor unimportant,Male,Senior Lecturer / Associate Professor  / Senior Researcher,1991,Both research and teaching intensive,Life Sciences,NA,Europe & Central Asia,Life Sciences & Biomedicine
15,8,Yes,Yes,Yes,Yes,Yes,No,I don't know,NA,Yes,Completely agree,Completely agree,Somewhat important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Very important,Completely agree,Completely agree,Neither important nor unimportant,Very important,Very important,Very important,Very important,Very important,Very important,Very important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Very important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Completely agree,Completely agree,33,25,Neither often nor rarely,0,NA,46,0,Neither important nor unimportant,Important,Important,Male,Professor,2002,Research intensive,Engineering,NA,Europe & Central Asia,Technology
17,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,I don't know,Completely agree,Agree,Somewhat important,Very important,Very important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Somewhat unimportant,Neither important nor unimportant,Very important,I don't know,I don't know,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Very important,I don't know,Very important,Neither agree nor disagree,Agree,Neither important nor unimportant,Somewhat important,Very important,Neither important nor unimportant,Very important,Very important,Neither important nor unimportant,Very important,Somewhat important,Somewhat unimportant,Very important,Very important,Very important,Very important,Very important,Very important,Neither important nor unimportant,Somewhat unimportant,Somewhat important,Completely agree,Agree,3,2,Neither often nor rarely,3,0,5,0,Very important,Very important,Neither important nor unimportant,Male,Senior Lecturer / Associate Professor  / Senior Researcher,2010,Research intensive,Engineering,NA,Europe & Central Asia,Technology
19,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,Yes,Completely agree,Completely agree,Very important,Somewhat important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat unimportant,Very important,Very important,Very important,Very important,Disagree,Disagree,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Completely disagree,Completely disagree,10,6,Often,100,0,10,0,Neither important nor unimportant,Neither important nor unimportant,Very unimportant,Male,Senior Lecturer / Associate Professor  / Senior Researcher,2005,Both research and teaching intensive,Engineering,NA,Europe & Central Asia,Technology
20,8,Yes,Yes,Yes,Yes,Yes,No,Yes,NA,No,Agree,Agree,Very important,Very important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Very important,Neither important nor unimportant,Somewhat important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Neither agree nor disagree,Agree,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Somewhat important,Neither important nor unimportant,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Very important,Very important,Somewhat important,Somewhat important,Very important,Neither agree nor disagree,Completely agree,55,35,Rarely,1,0,25,0,Neither important nor unimportant,Neither important nor unimportant,Neither important nor unimportant,Male,Senior Lecturer / Associate Professor  / Senior Researcher,1997,Both research and teaching intensive,Medicine,NA,Europe & Central Asia,Life Sciences & Biomedicine
21,8,Yes,Yes,Yes,Yes,Yes,Yes,I don't know,NA,Yes,Completely agree,Agree,Somewhat important,Somewhat important,Very important,Somewhat important,Somewhat important,Very important,Very important,Somewhat important,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Somewhat important,Somewhat important,Very important,Very important,Very important,Very important,Very important,Agree,Agree,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Very important,Very important,Very important,Very important,Neither important nor unimportant,Neither important nor unimportant,Very important,Very important,Very important,Very important,Very important,Very important,Somewhat important,Somewhat important,Somewhat important,Completely agree,Completely agree,4,4,Very often,1,1,1,1,Important,Neither important nor unimportant,Very important,Male,Lecturer / Assistant Professor / Research Fellow,2012,Both research and teaching intensive,Health,NA,Europe & Central Asia,Life Sciences & Biomedicine
